Dublin Core:Identifier,upload_url,tags,Item Type Metadata:Original Format,Item Type Metadata:Physical Dimensions,Dublin Core:Title,Dublin Core:Description,Dublin Core:Creator,Dublin Core:Source,Dublin Core:Publisher,Dublin Core:Date,Dublin Core:Rights,Dublin Core:Format,Dublin Core:Language,Dublin Core:Type
cmp_onu_ph_01,https://bassettassociates.s3.amazonaws.com/cmp/onu/cmp_onu_ph_01.tif,"campus,ONU",photo,1875x1250,View of the campus green of Ohio Northern University,Photo of two pedestrians walking through the landscaped green of Ohio Northern University.,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_onu_ph_03,https://bassettassociates.s3.amazonaws.com/cmp/onu/cmp_onu_ph_03.tif,"campus,ONU,storm water",photo,1875x1250,Fountain in lake of Ohio Northern University,Photo of water spouting from a fountain in the middle of the lake at Ohio Northern University.,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_onu_ph_02,https://bassettassociates.s3.amazonaws.com/cmp/onu/cmp_onu_ph_02.tif,"campus,ONU,sign",photo,1875x1250,Ohio Northern University entry sign,Photo of a person standing next to the entry sign for Ohio Northern University.,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_onu_ph_04,https://bassettassociates.s3.amazonaws.com/cmp/onu/cmp_onu_ph_04.tif,"campus,ONU,fountain",photo,3555x2430,Ohio Northern University fountain,Photo of a fountain at Ohio Norther University with the Performing Arts building in the backaground.,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_onu_ph_00,https://bassettassociates.s3.amazonaws.com/cmp/onu/cmp_onu_ph_00.jpg,"campus,ONU,storm water",photo,1600x1200,Ohio Northern University lake,Photo of a storm water retention lake at Ohio Northern University.,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cmp_blu_di_00,https://bassettassociates.s3.amazonaws.com/cmp/blu/cmp_blu_di_00.tif,"campus,Bluffton,sign",diagram,2168x2364,Bluffton College perimeter sign diagram,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_blu_di_01,https://bassettassociates.s3.amazonaws.com/cmp/blu/cmp_blu_di_01.tif,"campus,Bluffton,sign",diagram,1584x1628,Bluffton College building sign diagram,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_blu_ph_00,https://bassettassociates.s3.amazonaws.com/cmp/blu/cmp_blu_ph_00.tif,"campus,Bluffton,sculpture",photo,3582x2133,Constellation Earth sculpture at the entrance of Bluffton University ,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_blu_ph_01,https://bassettassociates.s3.amazonaws.com/cmp/blu/cmp_blu_ph_01.tif,"campus,Bluffton",photo,2337x1583,Adams Bridge at Bluffton University,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_blu_ph_02,https://bassettassociates.s3.amazonaws.com/cmp/blu/cmp_blu_ph_02.tif,"campus,Bluffton,sculpture",photo,1528x2299,Entrance to Centennial Hall,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_blu_ph_03,https://bassettassociates.s3.amazonaws.com/cmp/blu/cmp_blu_ph_03.tif,"campus,Bluffton",photo,2250x1500,View of Bluffton College campus open space,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_blu_ph_04,https://bassettassociates.s3.amazonaws.com/cmp/blu/cmp_blu_ph_04.tif,"campus,Bluffton",photo,3555x2295,Bluffton College old campus open space ,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_blu_pl_00,https://bassettassociates.s3.amazonaws.com/cmp/blu/cmp_blu_pl_00.tif,"campus,Bluffton",plan,3564x2430,"Bluffton College plan, 1972-2000",,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_blu_pl_01,https://bassettassociates.s3.amazonaws.com/cmp/blu/cmp_blu_pl_01.tif,"campus,Bluffton",plan,3311x2364,"Bluffton College plan, 1900",,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_blu_pl_02,https://bassettassociates.s3.amazonaws.com/cmp/blu/cmp_blu_pl_02.tif,"campus,Bluffton",plan,3636x2448,"Bluffton College plan, 1965",,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_blu_pl_03,https://bassettassociates.s3.amazonaws.com/cmp/blu/cmp_blu_pl_03.tif,"campus,Bluffton",plan,2529x2288,"Bluffton College plan, 1972-2000",,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_blu_pl_04,https://bassettassociates.s3.amazonaws.com/cmp/blu/cmp_blu_pl_04.tif,"campus,Bluffton",plan,3624x2231,"Bluffton College plan, 1950",,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_blu_pl_05,https://bassettassociates.s3.amazonaws.com/cmp/blu/cmp_blu_pl_05.tif,"campus,Bluffton,masterplan",plan,2173x2381,Bluffton College master plan building use,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_blu_pl_06,https://bassettassociates.s3.amazonaws.com/cmp/blu/cmp_blu_pl_06.tif,"campus,Bluffton,storm water",plan,1617x2115,Bluffton College flood plain,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_blu_pl_07,https://bassettassociates.s3.amazonaws.com/cmp/blu/cmp_blu_pl_07.tif,"campus,Bluffton,masterplan",plan,2210x2401,"Bluffton College master plan, 2000",,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_blu_pl_08,https://bassettassociates.s3.amazonaws.com/cmp/blu/cmp_blu_pl_08.tif,"campus,Bluffton",plan,2467x3165,Bluffton College nature preserve plan,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_blu_pl_09,https://bassettassociates.s3.amazonaws.com/cmp/blu/cmp_blu_pl_09.tif,"campus,Bluffton,masterplan",plan,2186x2397,Bluffton College open space,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_blu_pl_10,https://bassettassociates.s3.amazonaws.com/cmp/blu/cmp_blu_pl_10.tif,"campus,Bluffton",plan,2123x3287,Riverbend Development plan,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_blu_pl_11,https://bassettassociates.s3.amazonaws.com/cmp/blu/cmp_blu_pl_11.tif,"campus,Bluffton",plan,1650x2176,Bluffton College tree cover map,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_blu_pl_12,https://bassettassociates.s3.amazonaws.com/cmp/blu/cmp_blu_pl_12.tif,"campus,Bluffton,masterplan",plan,2170x2389,Bluffton College vehicular circulation plan,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_blu_sk_00,https://bassettassociates.s3.amazonaws.com/cmp/blu/cmp_blu_sk_00.tif,"campus,Bluffton",sketch,3564x2376,Aerial view sketch of Bluffton College,,James H. Bassett,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_fin_ph_00,https://bassettassociates.s3.amazonaws.com/cmp/fin/cmp_fin_ph_00.tif,"campus,Findlay",photo,2899x1968,University of Findlay campus open space,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_fin_pl_00,https://bassettassociates.s3.amazonaws.com/cmp/fin/cmp_fin_pl_00.tif,"campus,Findlay,masterplan",plan,1290x1374,Findlay College Main Block Development Plan - 1965,,Bassett Associates,Bassett Associates files,James H. Bassett,1965,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_fin_pl_01,https://bassettassociates.s3.amazonaws.com/cmp/fin/cmp_fin_pl_01.tif,"campus,Findlay,masterplan",plan,2200x1700,University of Findlay Master Plan - 1995,,Bassett Associates,Bassett Associates files,James H. Bassett,1995,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_fin_pl_02,https://bassettassociates.s3.amazonaws.com/cmp/fin/cmp_fin_pl_02.tif,"campus,Findlay,masterplan",plan,1984x1325,University of Findlay Master Plan for Development - 1996,,Bassett Associates,Bassett Associates files,James H. Bassett,1996,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_fin_pl_03,https://bassettassociates.s3.amazonaws.com/cmp/fin/cmp_fin_pl_03.tif,"campus,Findlay,masterplan",plan,2010x1550,University of Findlay Master Plan for Development - 1989,,Bassett Associates,Bassett Associates files,James H. Bassett,1989,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_fin_sk_00,https://bassettassociates.s3.amazonaws.com/cmp/fin/cmp_fin_sk_00.jpg,"campus,Findlay,masterplan",sketch,4191x1648,Findlay College aerial perspective drawing - 1965,,James H. Bassett,Bassett Associates files,James H. Bassett,1965,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cmp_bgu_master_ph_00,https://bassettassociates.s3.amazonaws.com/cmp/bgu/master/cmp_bgu_master_ph_00.tif,"campus,BGSU",photo,2933x1957,Street view in fall - Bowling Green State University,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_bgu_master_ph_01,https://bassettassociates.s3.amazonaws.com/cmp/bgu/master/cmp_bgu_master_ph_01.tif,"campus,BGSU",photo,2945x2014,Campus open space - Bowling Green State University,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_bgu_master_ph_02,https://bassettassociates.s3.amazonaws.com/cmp/bgu/master/cmp_bgu_master_ph_02.tif,"campus,BGSU",photo,2910x1945,Students in greenspace - Bowling Green State University,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_bgu_master_ph_03,https://bassettassociates.s3.amazonaws.com/cmp/bgu/master/cmp_bgu_master_ph_03.tif,"campus,BGSU,prior",photo,2922x1945,Bowling Green State University prior to master plan,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_bgu_master_ph_04,https://bassettassociates.s3.amazonaws.com/cmp/bgu/master/cmp_bgu_master_ph_04.tif,"campus,BGSU",photo,2979x1957,Pathway - Bowling Green State University,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_bgu_master_ph_05,https://bassettassociates.s3.amazonaws.com/cmp/bgu/master/cmp_bgu_master_ph_05.tif,"campus,BGSU",photo,2910x1923,Trees blooming in spring - Bowling Green State University,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_oli_ph_00,https://bassettassociates.s3.amazonaws.com/cmp/oli/cmp_oli_ph_00.tif,"campus,OSU-Lima",photo,2365x1583,"Plaza at Ohio State University, Lima campus",,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_oli_ph_01,https://bassettassociates.s3.amazonaws.com/cmp/oli/cmp_oli_ph_01.tif,"campus,OSU-Lima",photo,2346x1583,"Gavin Hall and landscaping, Ohio State University, Lima campus",,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_oli_pl_00,https://bassettassociates.s3.amazonaws.com/cmp/oli/cmp_oli_pl_00.tif,"campus,OSU-Lima",plan,3800x2200,Ohio State University - Lima master plan,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_bgu_master_sk_00,https://bassettassociates.s3.amazonaws.com/cmp/bgu/master/cmp_bgu_master_sk_00.tif,"campus,BGSU",sketch,5851x3332,Prout Chapel - Bowling Green State University,,James H. Bassett,Bassett Associates files,James H. Bassett,1958,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_omr_ph_00,https://bassettassociates.s3.amazonaws.com/cmp/omr/cmp_omr_ph_00.jpg,"campus,OSU-Marion",photo,1584x1090,Landscaping at Ohio State University at Marion,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cmp_omr_ph_01,https://bassettassociates.s3.amazonaws.com/cmp/omr/cmp_omr_ph_01.jpg,"campus,OSU-Marion,storm water",photo,1581x1073,Storm water retention lake at  Ohio State University at Marion (view 1),,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cmp_omr_ph_02,https://bassettassociates.s3.amazonaws.com/cmp/omr/cmp_omr_ph_02.jpg,"campus,OSU-Marion,storm water",photo,1587x1056,Storm water retention lake at  Ohio State University at Marion (view 2),,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cmp_omr_ph_03,https://bassettassociates.s3.amazonaws.com/cmp/omr/cmp_omr_ph_03.jpg,"campus,OSU-Marion,storm water",photo,1580x1058,Storm water retention lake at  Ohio State University at Marion (view 3),,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cmp_omr_ph_04,https://bassettassociates.s3.amazonaws.com/cmp/omr/cmp_omr_ph_04.jpg,"campus,OSU-Marion,storm water",photo,1586x1030,Storm water retention lake at  Ohio State University at Marion (view 4),,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cmp_omr_ph_05,https://bassettassociates.s3.amazonaws.com/cmp/omr/cmp_omr_ph_05.jpg,"campus,OSU-Marion,storm water",photo,1581x1044,Storm water retention lake at  Ohio State University at Marion (view 5),,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cmp_omr_ph_06,https://bassettassociates.s3.amazonaws.com/cmp/omr/cmp_omr_ph_06.jpg,"campus,OSU-Marion,storm water",photo,1589x1058,Storm water retention lake at  Ohio State University at Marion (view 6),,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cmp_omr_ph_07,https://bassettassociates.s3.amazonaws.com/cmp/omr/cmp_omr_ph_07.jpg,"campus,OSU-Marion,storm water",photo,1584x1054,Storm water retention lake at  Ohio State University at Marion (view 7),,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cmp_omr_ph_08,https://bassettassociates.s3.amazonaws.com/cmp/omr/cmp_omr_ph_08.jpg,"campus,OSU-Marion,storm water,sculpture",photo,1061x1601,Sculpture at Ohio State University at Marion,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cbd_bel_ph_00,https://bassettassociates.s3.amazonaws.com/cbd/bel/cbd_bel_ph_00.jpg,"downtown,Bellfontaine",photo,3201x2112,Bellefontaine streetscape with pedestrians,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cbd_bel_ph_01,https://bassettassociates.s3.amazonaws.com/cbd/bel/cbd_bel_ph_01.jpg,"downtown,Bellfontaine",photo,1998x3125,Planters in Bellefontaine streetscape,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cbd_bel_ph_02,https://bassettassociates.s3.amazonaws.com/cbd/bel/cbd_bel_ph_02.jpg,"downtown,Bellfontaine,lighting",photo,2204x3148,Bellefontaine lamps at night,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cbd_bel_ph_03,https://bassettassociates.s3.amazonaws.com/cbd/bel/cbd_bel_ph_03.jpg,"downtown,Bellfontaine,lighting",photo,2185x3110,Bellefontaine lamps during the day,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cbd_bel_ph_04,https://bassettassociates.s3.amazonaws.com/cbd/bel/cbd_bel_ph_04.jpg,"downtown,Bellfontaine,fountain",photo,3239x2125,Fountain in Bellefontaine streetscape,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cbd_bel_ph_05,https://bassettassociates.s3.amazonaws.com/cbd/bel/cbd_bel_ph_05.jpg,"downtown,Bellfontaine",photo,3150x2099,Pedestrian crossing in Bellefontaine streetscape,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cbd_bel_ph_06,https://bassettassociates.s3.amazonaws.com/cbd/bel/cbd_bel_ph_06.jpg,"downtown,Bellfontaine",photo,2147x3148,Parking and planters in Bellefontaine streetscape,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cbd_bel_ph_07,https://bassettassociates.s3.amazonaws.com/cbd/bel/cbd_bel_ph_07.jpg,"downtown,Bellfontaine",photo,3176x2125,Planters and pedestrian in Bellefontaine streetscape,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cbd_bel_ph_08,https://bassettassociates.s3.amazonaws.com/cbd/bel/cbd_bel_ph_08.jpg,"downtown,Bellfontaine",photo,2147x3129,Planter and tree in Bellefontaine streetscape,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cbd_bel_ph_09,https://bassettassociates.s3.amazonaws.com/cbd/bel/cbd_bel_ph_09.jpg,"downtown,Bellfontaine",photo,2222x3167,Storefront in Bellefontaine streetscape,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cbd_bel_ph_10,https://bassettassociates.s3.amazonaws.com/cbd/bel/cbd_bel_ph_10.jpg,"downtown,Bellfontaine,seating",photo,2185x3167,Benches and brickwork in Bellefontaine streetscape,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cbd_bel_ph_11,https://bassettassociates.s3.amazonaws.com/cbd/bel/cbd_bel_ph_11.jpg,"downtown,Bellfontaine",photo,3176x2112,"Trees, planters, and benches in Bellefontaine streetscape",,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cbd_bel_ph_12,https://bassettassociates.s3.amazonaws.com/cbd/bel/cbd_bel_ph_12.jpg,"downtown,Bellfontaine,construction",photo,2464x2354,Construction during Bellefontaine streetscape renovation,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cbd_bel_ph_13,https://bassettassociates.s3.amazonaws.com/cbd/bel/cbd_bel_ph_13.jpg,"downtown,Bellfontaine,prior",photo,3163x2163,Traffic and courthouse prior to Bellefontaine streetscape renovataion,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cbd_bel_ph_14,https://bassettassociates.s3.amazonaws.com/cbd/bel/cbd_bel_ph_14.jpg,"downtown,Bellfontaine,prior",photo,3125x2048,Traffic crossing prior to Bellefontaine streetscape renovation,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cbd_bel_ph_15,https://bassettassociates.s3.amazonaws.com/cbd/bel/cbd_bel_ph_15.jpg,"downtown,Bellfontaine,prior",photo,2147x3129,Sidewalk and pedestrians prior to Bellefontaine streetscape renovation,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
cbd_bel_pl_00,https://bassettassociates.s3.amazonaws.com/cbd/bel/cbd_bel_pl_00.jpg,"downtown,Bellfontaine",plan,3176x2074,Bellefontaine courthouse plaza plan,,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,en,StillImage
