Dublin Core:Identifier,upload_url,tags,Item Type Metadata:Original Format,Item Type Metadata:Physical Dimensions,Dublin Core:Title,Dublin Core:Description,Dublin Core:Creator,Dublin Core:Source,Dublin Core:Publisher,Dublin Core:Date,Dublin Core:Rights,Dublin Core:Format,Dublin Core:Language,Dublin Core:Type
exhibit_lim_po_01,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_lim_po_01.tif,"2001 exhibit,Lima",poster,3675x2800,"Lima, Ohio 1989",Features of the 1989 redeveloment plan are illustrated with a plan and photos,Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
exhibit_lim_po_02,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_lim_po_02.tif,"2001 exhibit,Lima",poster,3675x2800,"Lima, Ohio 1994",The 1994 Ottawa River Corridor Master Plan is illustrated with plans and sketches,Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
exhibit_lim_po_03,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_lim_po_03.tif,"2001 exhibit,Lima",poster,3675x2800,"Lima, Ohio 2001",The 2001 Urban Design plan is described and illustrated with plans,Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
exhibit_limit_po_00,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_limit_po_00.tif,2001 exhibit,poster,3675x2800,The Limited,Site plans for the corporate headquarters and distribution center are shown with photos,Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
exhibit_mrf_po_00,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_mrf_po_00.tif,"2001 exhibit,Muirfield",poster,3675x2800,Muirfield Village analyses,"Soils, plant life, slope, and hydrology inventories and analyses are illustrated",Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
exhibit_mrf_po_01,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_mrf_po_01.tif,"2001 exhibit,Muirfield",poster,3675x2800,Muirfield Village land use,Watershed and land use distribution plans are shown along with photos,Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
exhibit_mrf_po_02,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_mrf_po_02.tif,"2001 exhibit,Muirfield",poster,3675x2800,Muirfield Village transportation,"The transportation infrastructure of Muirfield Village is illustrated with a plan, sketch, and photos",Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
exhibit_mrf_po_03,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_mrf_po_03.tif,"2001 exhibit,Muirfield",poster,3675x2800,Muirfield Village housing concepts,"Planning for distribution of homes is illustrated by plans, a sketch, and photos",Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
exhibit_oclc_po_00,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_oclc_po_00.tif,2001 exhibit,poster,3675x2800,"Online Computer Library Corporation, Dublin, Ohio",The use of stormwater lakes as a landscaping feature is illustrated with a plan and photos,Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
exhibit_ph_00,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_ph_00.jpg,2001 exhibit,photo,1600x1200,James H. Bassett exhibition entrance,Photo showing the entrance to the Artspace/Lima retrospective exhibition,Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
exhibit_ph_01,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_ph_01.jpg,2001 exhibit,photo,1600x1200,Lengthwise view of the gallery,View of the James H. Bassett retrospective exhibition showing informational panels and artworks,Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
exhibit_ph_02,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_ph_02.jpg,2001 exhibit,photo,1600x1200,Three dimensional models,Two 3D models occupy the central part of the exhibition,Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
exhibit_ph_03,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_ph_03.jpg,2001 exhibit,photo,1600x1200,Muirfield Village plan,A large format plan of Muirfield Village hangs from the ceiling of the exhibition hall,Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
exhibit_ph_04,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_ph_04.jpg,2001 exhibit,photo,1600x1200,Parkway and Muirfield panels,An enlargment of the Muirfiled parkway plan snakes through the illustrative panels about the project,Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
exhibit_ph_05,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_ph_05.jpg,2001 exhibit,photo,1600x1200,Original artwork and statue,Three original sketches by Bassett hang behind a statue (not by Bassett) whose likeness served as a corporate symbol for the Bassett organization for many years,Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
exhibit_pike_po_00,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_pike_po_00.jpg,2001 exhibit,poster,2100x1600,Pike Run Watershed Study,Plans and a sketch illustrate how conservation can be aligned with engineering to control flooding,Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,en,StillImage
exhibit_scott_po_00,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_scott_po_00.tif,2001 exhibit,poster,3675x2800,O.M. Scott Corporate Offices,Lakes and cascades are major landscape features illustrated by a plan and photos,Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
